"Trophic
guild",Family,Species,Cyanobacteria,Green-Brown algae,POM,Red algae
macrocarnivores,Carangidae,-,"0.063
[0.013, 0.175]","0.099
[0.022, 0.259]","0.402
[0.204, 0.615]","0.406
[0.196, 0.667]"
macrocarnivores,Carangidae,Caranx melampygus,"0.044
[0.008, 0.125]","0.095
[0.015, 0.285]","0.429
[0.24, 0.586]","0.416
[0.156, 0.673]"
macrocarnivores,Carangidae,Caranx papuensis,"0.06
[0.008, 0.233]","0.095
[0.014, 0.319]","0.441
[0.133, 0.669]","0.362
[0.116, 0.744]"
macrocarnivores,Carangidae,Scomberoides lysan,"0.053
[0.008, 0.198]","0.074
[0.012, 0.222]","0.465
[0.175, 0.654]","0.381
[0.152, 0.714]"
macrocarnivores,Cirrhitidae,-,"0.08
[0.023, 0.203]","0.188
[0.051, 0.421]","0.384
[0.225, 0.556]","0.32
[0.119, 0.563]"
macrocarnivores,Cirrhitidae,Cirrhitus pinnulatus,"0.081
[0.018, 0.209]","0.231
[0.039, 0.492]","0.384
[0.236, 0.527]","0.28
[0.083, 0.565]"
macrocarnivores,Cirrhitidae,Paracirrhites forsteri,"0.055
[0.013, 0.156]","0.183
[0.031, 0.416]","0.463
[0.335, 0.589]","0.277
[0.073, 0.53]"
macrocarnivores,Cirrhitidae,Paracirrhites hemistictus,"0.09
[0.019, 0.226]","0.269
[0.058, 0.467]","0.36
[0.247, 0.47]","0.269
[0.088, 0.513]"
macrocarnivores,Epinephelidae,-,"0.089
[0.035, 0.179]","0.126
[0.036, 0.269]","0.419
[0.277, 0.55]","0.352
[0.198, 0.536]"
macrocarnivores,Epinephelidae,Cephalopholis argus,"0.07
[0.018, 0.164]","0.117
[0.019, 0.281]","0.235
[0.114, 0.343]","0.566
[0.377, 0.765]"
macrocarnivores,Epinephelidae,Cephalopholis leopardus,"0.06
[0.017, 0.154]","0.111
[0.02, 0.345]","0.498
[0.3, 0.682]","0.292
[0.098, 0.574]"
macrocarnivores,Epinephelidae,Cephalopholis sexmaculata,"0.074
[0.016, 0.213]","0.097
[0.019, 0.282]","0.514
[0.219, 0.712]","0.282
[0.089, 0.618]"
macrocarnivores,Epinephelidae,Cephalopholis urodeta,"0.08
[0.025, 0.166]","0.126
[0.024, 0.286]","0.547
[0.428, 0.647]","0.23
[0.093, 0.425]"
macrocarnivores,Epinephelidae,Epinephelus fasciatus,"0.092
[0.02, 0.214]","0.126
[0.022, 0.307]","0.492
[0.333, 0.605]","0.27
[0.1, 0.524]"
macrocarnivores,Epinephelidae,Epinephelus hexagonatus,"0.088
[0.024, 0.191]","0.137
[0.025, 0.325]","0.486
[0.356, 0.592]","0.273
[0.102, 0.494]"
macrocarnivores,Epinephelidae,Epinephelus merra,"0.145
[0.073, 0.262]","0.142
[0.025, 0.457]","0.19
[0.096, 0.301]","0.502
[0.209, 0.698]"
macrocarnivores,Epinephelidae,Variola louti,"0.078
[0.017, 0.206]","0.099
[0.019, 0.243]","0.553
[0.322, 0.71]","0.247
[0.087, 0.527]"
macrocarnivores,Fistulariidae,-,"0.076
[0.013, 0.217]","0.109
[0.021, 0.294]","0.332
[0.12, 0.586]","0.448
[0.213, 0.752]"
macrocarnivores,Fistulariidae,Fistularia commersonii,"0.062
[0.009, 0.188]","0.095
[0.013, 0.264]","0.343
[0.103, 0.519]","0.475
[0.226, 0.792]"
macrocarnivores,Holocentridae,-,"0.095
[0.031, 0.223]","0.137
[0.033, 0.302]","0.29
[0.157, 0.434]","0.457
[0.276, 0.669]"
macrocarnivores,Holocentridae,Neoniphon argenteus,"0.138
[0.02, 0.39]","0.15
[0.021, 0.5]","0.189
[0.056, 0.361]","0.461
[0.152, 0.813]"
macrocarnivores,Holocentridae,Neoniphon sammara,"0.106
[0.024, 0.26]","0.166
[0.024, 0.427]","0.204
[0.084, 0.344]","0.498
[0.238, 0.759]"
macrocarnivores,Holocentridae,Sargocentron caudimaculatum,"0.092
[0.018, 0.248]","0.13
[0.019, 0.391]","0.307
[0.103, 0.49]","0.437
[0.163, 0.761]"
macrocarnivores,Holocentridae,Sargocentron microstoma,"0.088
[0.023, 0.245]","0.191
[0.03, 0.391]","0.206
[0.107, 0.338]","0.494
[0.279, 0.707]"
macrocarnivores,Holocentridae,Sargocentron spiniferum,"0.065
[0.015, 0.17]","0.085
[0.015, 0.219]","0.277
[0.115, 0.414]","0.558
[0.356, 0.777]"
macrocarnivores,Holocentridae,Sargocentron tiere,"0.088
[0.022, 0.201]","0.116
[0.02, 0.261]","0.488
[0.364, 0.59]","0.29
[0.118, 0.503]"
macrocarnivores,Labridae,-,"0.07
[0.013, 0.203]","0.106
[0.021, 0.266]","0.287
[0.118, 0.459]","0.509
[0.29, 0.783]"
macrocarnivores,Labridae,Cheilio inermis,"0.086
[0.008, 0.382]","0.128
[0.014, 0.43]","0.202
[0.056, 0.376]","0.517
[0.202, 0.85]"
macrocarnivores,Labridae,Epibulus insidiator,"0.035
[0.006, 0.111]","0.056
[0.009, 0.163]","0.204
[0.059, 0.346]","0.692
[0.508, 0.88]"
macrocarnivores,Labridae,Oxycheilinus unifasciatus,"0.069
[0.008, 0.204]","0.113
[0.015, 0.325]","0.405
[0.187, 0.544]","0.386
[0.149, 0.712]"
